GPA,SAT,Age,Gender,EssayScore,InterviewScore,ExtracurricularScore,RecommendationScore,LegacyStatus,FinancialAid,FirstGeneration,Race_American_Indian_or_Alaska_Native,Race_Asian,Race_Black_or_African_American,Race_Native_Hawaiian_or_Other_Pacific_Islander,Race_White,Ethnicity_Hispanic_or_Latino,Admitted
3.01,1338,18,0,2,5,9,6,0,0,1,0,0,0,0,0,1,1
3.29,1335,18,0,6,9,7,5,1,2,1,1,0,0,0,0,0,1
3.28,1166,19,1,7,6,5,5,0,1,0,0,0,0,1,0,0,0
3.15,1100,17,0,2,5,8,5,0,0,0,0,0,0,0,1,0,0
2.51,1140,17,0,7,5,6,7,0,1,1,0,0,0,0,0,1,0
3.52,1280,17,1,5,3,8,7,0,0,0,1,0,0,0,0,0,1
3.62,1149,20,0,4,5,5,8,1,0,1,0,0,1,0,0,0,1
4.0,1087,18,0,5,5,5,8,0,1,0,0,0,1,0,0,0,1
3.42,1199,18,0,5,7,9,9,0,2,0,0,0,0,0,0,1,1
3.2,1366,18,1,5,6,4,5,1,2,1,0,0,0,0,1,0,0
2.69,1220,24,0,7,5,9,10,0,2,0,0,0,0,0,1,0,1
3.95,1158,20,1,8,4,8,5,0,3,0,0,0,0,0,1,0,1
3.32,1248,19,1,6,6,7,7,0,3,0,1,0,0,0,0,0,1
3.3,1212,17,0,9,2,3,6,0,2,0,0,0,0,0,1,0,1
3.07,909,17,0,4,6,9,6,0,2,0,1,0,0,0,0,0,0
3.04,1304,21,0,7,9,5,8,0,1,0,0,0,1,0,0,0,1
3.54,1261,18,1,10,6,8,4,0,0,0,0,0,0,1,0,0,1
2.69,1202,17,0,3,7,5,5,0,0,0,0,0,0,1,0,0,0
4.0,1359,18,0,3,7,5,8,0,0,0,1,0,0,0,0,0,1
3.9,1381,21,0,9,4,8,6,0,3,1,0,1,0,0,0,0,1
3.02,1319,18,1,7,10,8,6,0,1,1,0,0,0,1,0,0,1
2.77,1072,18,0,5,6,4,4,1,2,0,0,0,1,0,0,0,0
2.19,1077,19,1,4,6,9,6,0,0,0,0,1,0,0,0,0,0
2.57,1367,18,0,6,5,6,8,0,1,0,0,0,0,1,0,0,1
3.56,918,17,0,7,9,7,5,0,0,1,0,0,1,0,0,0,1
3.36,1177,25,1,7,4,6,9,0,2,0,1,0,0,0,0,0,1
3.45,1265,23,0,4,9,4,9,0,2,1,0,0,0,1,0,0,1
2.28,937,19,0,6,6,8,6,1,2,0,0,0,0,1,0,0,0
3.0,1235,18,0,5,5,7,5,0,0,0,0,0,0,1,0,0,0
3.88,1343,17,0,8,5,5,1,0,0,0,1,0,0,0,0,0,1
3.15,977,21,0,4,10,8,4,0,0,0,0,1,0,0,0,0,1
2.56,1448,17,1,7,3,7,4,0,0,0,0,0,0,0,0,1,0
3.14,1048,19,0,10,5,7,4,0,2,0,0,0,0,0,1,0,0
2.81,1286,21,1,4,4,10,6,0,0,0,0,0,0,1,0,0,0
3.37,1187,18,1,5,3,3,7,0,1,0,0,0,1,0,0,0,0
3.21,1210,19,0,6,9,3,10,0,1,0,1,0,0,0,0,0,1
3.47,1007,19,1,1,6,4,7,0,1,0,0,1,0,0,0,0,0
2.59,1389,17,1,4,4,7,2,0,0,1,0,0,1,0,0,0,0
2.98,1248,18,1,7,8,6,5,1,3,0,0,0,0,1,0,0,0
3.75,1443,17,1,6,6,6,8,0,1,1,1,0,0,0,0,0,1
2.52,1011,18,1,9,5,5,6,1,2,0,0,0,1,0,0,0,0
2.7,1172,17,0,6,8,10,8,0,0,0,1,0,0,0,0,0,1
3.3,1231,18,1,6,6,10,5,0,2,0,0,0,0,0,0,1,1
3.34,1209,19,1,5,5,8,9,0,0,1,0,1,0,0,0,0,1
2.96,1300,24,1,6,8,3,7,0,1,0,0,1,0,0,0,0,1
3.06,1170,18,1,4,6,6,7,0,1,0,0,1,0,0,0,0,0
3.47,1518,18,0,6,8,8,7,0,0,1,1,0,0,0,0,0,1
3.62,1205,18,0,5,6,6,5,1,0,0,1,0,0,0,0,0,1
2.67,800,23,0,4,9,8,6,0,3,0,0,0,0,1,0,0,0
3.38,1212,18,1,5,7,9,7,0,0,0,1,0,0,0,0,0,1
3.96,1389,18,1,7,9,10,4,0,2,1,1,0,0,0,0,0,1
3.14,1061,21,0,7,9,5,7,1,1,0,0,0,0,0,0,1,1
2.66,1051,18,1,8,9,7,9,0,0,1,0,0,1,0,0,0,0
2.64,1073,21,0,5,7,6,7,1,0,0,1,0,0,0,0,0,0
3.12,1038,21,0,6,7,2,9,0,0,1,0,1,0,0,0,0,1
3.72,1128,22,0,10,6,8,7,0,1,0,0,0,1,0,0,0,1
3.18,1336,17,0,9,5,8,5,1,1,0,0,0,0,0,0,1,1
3.29,1428,18,0,4,10,5,8,0,2,0,1,0,0,0,0,0,1
2.7,836,20,0,4,5,3,4,1,1,1,0,1,0,0,0,0,0
