GPA,SAT,Age,Gender,EssayScore,InterviewScore,ExtracurricularScore,RecommendationScore,LegacyStatus,FinancialAid,FirstGeneration,Race_American_Indian_or_Alaska_Native,Race_Asian,Race_Black_or_African_American,Race_Native_Hawaiian_or_Other_Pacific_Islander,Race_White,Ethnicity_Hispanic_or_Latino,Accept
3.25,865,19,0,5,8,5,5,0,1,0,0,1,0,0,0,0,0
3.38,1248,20,1,6,7,5,5,0,2,0,0,0,1,0,0,0,1
3.9,1200,17,1,6,8,10,6,0,2,0,0,0,0,0,0,1,1
3.45,1149,18,1,8,8,7,8,0,2,0,0,0,0,0,1,0,1
3.36,1283,17,1,7,8,3,8,0,0,0,0,0,1,0,0,0,1
3.29,1182,21,0,4,9,10,6,0,3,1,0,0,0,0,1,0,1
2.73,1435,20,1,5,7,7,4,0,1,0,1,0,0,0,0,0,1
2.98,1301,18,0,8,6,7,9,0,3,0,0,0,0,1,0,0,1
2.95,1097,18,1,8,7,7,3,0,0,1,0,0,0,1,0,0,0
3.44,1168,17,0,4,2,2,8,1,1,0,0,0,0,0,1,0,0
3.81,1067,18,1,6,7,7,9,0,3,0,0,1,0,0,0,0,1
4.0,1075,18,0,7,8,6,7,0,0,0,0,0,1,0,0,0,1
2.55,1234,18,1,8,6,10,5,0,2,0,0,0,1,0,0,0,0
3.04,1190,22,0,10,9,3,8,1,2,0,0,0,0,0,1,0,1
3.1,1436,17,0,6,8,10,6,0,2,0,1,0,0,0,0,0,1
3.88,1410,19,0,2,8,9,6,0,1,1,0,1,0,0,0,0,1
3.16,1254,17,0,5,6,7,6,0,0,0,0,0,0,0,1,0,1
2.77,1106,25,1,6,7,6,5,0,2,1,0,0,1,0,0,0,0
4.0,1492,17,1,5,7,6,7,1,1,1,0,0,1,0,0,0,1
3.76,992,18,1,7,6,4,7,0,0,0,1,0,0,0,0,0,0
3.65,1329,17,1,5,4,9,3,0,0,0,0,0,0,0,0,1,1
3.47,999,20,0,6,7,10,7,0,0,1,0,0,0,0,1,0,1
2.53,1372,18,0,3,9,8,7,0,0,0,0,0,0,0,1,0,0
2.71,1041,18,1,3,4,9,7,0,1,0,0,0,0,0,0,1,0
3.45,1273,17,1,8,4,6,7,1,1,0,0,0,0,0,0,1,1
2.83,1159,18,0,6,6,6,6,1,0,1,0,0,0,0,1,0,0
3.6,1282,19,1,5,10,7,5,0,2,1,1,0,0,0,0,0,1
3.8,1118,17,1,9,4,6,7,0,1,0,1,0,0,0,0,0,1
4.0,1410,17,0,10,8,6,4,0,1,0,0,0,0,1,0,0,1
2.79,1127,25,0,5,8,4,8,0,2,1,0,1,0,0,0,0,0
3.6,1471,18,1,5,5,5,8,0,2,1,0,0,1,0,0,0,1
2.41,1338,25,1,5,8,7,10,0,0,0,0,0,0,1,0,0,1
2.8,1284,19,1,7,4,4,8,0,1,1,1,0,0,0,0,0,0
3.96,1187,17,1,5,8,9,2,0,0,1,0,0,0,1,0,0,1
3.3,1415,17,1,5,7,8,8,0,0,0,0,0,0,0,1,0,1
3.22,1249,18,0,6,3,6,4,0,3,1,0,0,1,0,0,0,0
3.36,1193,18,1,7,4,5,6,0,0,1,0,1,0,0,0,0,0
